Fund	Fund Description	Chart Section Level 1	Chart Section Level 2	Agency	Agency Description	Organization	Organization Description	Activity	Activity Description	Function	Function Description	Account	Account Description	Total Indicator	Balance Forward	YTD Debits	YTD Credits	Ending Balance	Prior Year YTD Balance
0002	Energy Projects	ASSETS										1023	Cash-Ann Arbor State Bank	N	5603615	3302	0	5606917	20040310
0002	Energy Projects	ASSETS										2198	Loan Receivable	N	0	808450	0	808450	0
0002	Energy Projects	ASSETS										2218	Accounts Receivable	N	0	340098	340098	0	0
0002	Energy Projects	ASSETS										2236	Special Assessment-Energy Improvement Loan	N	41574359	14173827	7012198	48735988	40648639
0002	Energy Projects	ASSETS										2400.0099	Equity In Pooled cash & investments	N	48616237	8045344	27129644	29531937	56914849
0002	Energy Projects	ASSETS										2402	Taxes Rec Delinquent Invoices	N	0	1325951	0	1325951	0
0002	Energy Projects	LIABILITIES AND FUND EQUITY	LIABILITIES									4001	Accounts Payable	N	-3491439	16835439	13344000	0	0
0002	Energy Projects	LIABILITIES AND FUND EQUITY	LIABILITIES									4002	Accrued Payroll	N	-42820	42820	0	0	0
0002	Energy Projects	LIABILITIES AND FUND EQUITY	LIABILITIES									4630	Retainages Payable	N	-102700	0	0	-102700	-102700
0002	Energy Projects	LIABILITIES AND FUND EQUITY	LIABILITIES									5551	Deferred Revenue	N	-36626187	42413	14310910	-50894684	-40648639
0002	Energy Projects	LIABILITIES AND FUND EQUITY	FUND EQUITY									6606	Fund Balance	N	-45531065	0	0	-45531065	-104911700
0002	Energy Projects	LIABILITIES AND FUND EQUITY	FUND EQUITY									8826	Restricted For Other Purposes	N	-10000000	0	0	-10000000	-10000000
0002	Energy Projects	REVENUES		018	Finance	1000	Administration	0000	Revenue			6200	Investment Income	N	0	70053	277454	-207401	-397084
0002	Energy Projects	REVENUES		018	Finance	1000	Administration	0000	Revenue			6203	Interest/Dividends	N	0	158244	644713	-486469	-24141
0002	Energy Projects	REVENUES		029	Environmental Coordination Ser	1300	Energy Management	0000	Revenue			1624	Special Asses - PACE	N	0	42413	42413	0	0
0002	Energy Projects	REVENUES		029	Environmental Coordination Ser	1300	Energy Management	0000	Revenue			2710.0048	Operating Transfers 0048	N	0	0	0	0	-106995
0002	Energy Projects	REVENUES		029	Environmental Coordination Ser	1300	Energy Management	0000	Revenue			6999	Miscellaneous	N	0	0	137904	-137904	-14400
0002	Energy Projects	REVENUES		029	Environmental Coordination Ser	1350	PACE Revolving Loans	0000	Revenue			1624	Special Asses - PACE	N	0	0	42413	-42413	0
0002	Energy Projects	REVENUES		029	Environmental Coordination Ser	1375	Community Energy Revolving Loans	0000	Revenue			2200	Program Income	N	0	0	615404	-615404	-340098
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1300	Energy Management	1000	Administration			1100	Permanent Time Worked	N	0	72600	2205	70395	389428
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1300	Energy Management	1000	Administration			1200	Temporary Pay	N	0	50400	0	50400	9120
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1300	Energy Management	1000	Administration			2100	Professional Services	N	0	0	0	0	330000
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1300	Energy Management	1000	Administration			2410	Rent City Vehicles	N	0	6177	0	6177	9312
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1300	Energy Management	1000	Administration			2430	Contracted Services	N	0	0	0	0	4065600
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1300	Energy Management	1000	Administration			2500	Printing	N	0	15000	0	15000	0
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1300	Energy Management	1000	Administration			4215	Deferred Comp Contributions	N	0	0	0	0	731
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1300	Energy Management	1000	Administration			4220	Life Insurance	N	0	122	4	118	643
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1300	Energy Management	1000	Administration			4230	Medical Insurance	N	0	0	0	0	10605
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1300	Energy Management	1000	Administration			4234	Disability Insurance	N	0	107	6	101	757
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1300	Energy Management	1000	Administration			4250	Social Security-Employer	N	0	9411	169	9242	30966
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1300	Energy Management	1000	Administration			4270	Dental Insurance	N	0	0	0	0	947
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1300	Energy Management	1000	Administration			4280	Optical Insurance	N	0	0	0	0	98
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1300	Energy Management	1000	Administration			4310	Municipal Service Charges	N	0	1198400	0	1198400	1168881
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1300	Energy Management	1000	Administration			4423	Transfer To IT Fund	N	0	541100	0	541100	541331
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1300	Energy Management	1000	Administration			4440	Unemployment Compensation	N	0	1224	0	1224	1242
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1350	PACE Revolving Loans	1329	Energy Management			7998	Transfer - Loan Recipients	N	0	13344000	0	13344000	31326613
0002	Energy Projects	EXPENSES		029	Environmental Coordination Ser	1350	PACE Revolving Loans	9500	Debt Service			4420	Transfer To Other Funds	N	0	6772640	0	6772640	1127036
