Fund	Fund Description	Chart Section Level 1	Chart Section Level 2	Agency	Agency Description	Organization	Organization Description	Activity	Activity Description	Function	Function Description	Account	Account Description	Total Indicator	Balance Forward	YTD Debits	YTD Credits	Ending Balance	Prior Year YTD Balance
0002	Energy Projects	ASSETS										1023	Cash-Ann Arbor State Bank	N	20016169	30062	14442616	5603615	20016169
0002	Energy Projects	ASSETS										2218	Accounts Receivable	N	0	680196	680196	0	0
0002	Energy Projects	ASSETS										2236	Special Assessment-Energy Improvement Loan	N	8848844	33730605	1005090	41574359	8848844
0002	Energy Projects	ASSETS										2400.0099	Equity In Pooled cash & investments	N	95351457	4769462	51504682	48616237	95351457
0002	Energy Projects	LIABILITIES AND FUND EQUITY	LIABILITIES									4001	Accounts Payable	N	-5600	44492228	47978067	-3491439	-5600
0002	Energy Projects	LIABILITIES AND FUND EQUITY	LIABILITIES									4002	Accrued Payroll	N	-38131	38131	42820	-42820	-38131
0002	Energy Projects	LIABILITIES AND FUND EQUITY	LIABILITIES									4630	Retainages Payable	N	-102700	0	0	-102700	-102700
0002	Energy Projects	LIABILITIES AND FUND EQUITY	LIABILITIES									5551	Deferred Revenue	N	-8848844	4022452	31799795	-36626187	-8848844
0002	Energy Projects	LIABILITIES AND FUND EQUITY	FUND EQUITY									6606	Fund Balance	N	-105221195	67763162	8073032	-45531065	-105221195
0002	Energy Projects	LIABILITIES AND FUND EQUITY	FUND EQUITY									8826	Restricted For Other Purposes	N	-10000000	0	0	-10000000	-10000000
0002	Energy Projects	REVENUES		018	Finance	1000	Administration	0000	Revenue			6200	Investment Income	N	0	312493	934734	-622241	-860347
0002	Energy Projects	REVENUES		018	Finance	1000	Administration	0000	Revenue			6203	Interest/Dividends	N	0	0	2166972	-2166972	-4112
0002	Energy Projects	REVENUES		029	Environmental Coordination Ser	0371	CNG Royalty Agreement for AF Veh	0000	Revenue			6192	Royalties	N	0	42000	113351	-71351	-692900
0002	Energy Projects	REVENUES		029	Environmental Coordination Ser	1300	Energy Management	0000	Revenue			1624	Special Asses - PACE	N	0	0	4022452	-4022452	0
0002	Energy Projects	REVENUES		029	Environmental Coordination Ser	1300	Energy Management	0000	Revenue			2710.0010	Operating Transfers 0010	N	0	0	0	0	-60000
0002	Energy Projects	REVENUES		029	Environmental Coordination Ser	1300	Energy Management	0000	Revenue			2710.0048	Operating Transfers 0048	N	0	0	183420	-183420	-183600
0002	Energy Projects	REVENUES		029	Environmental Coordination Ser	1300	Energy Management	0000	Revenue			2710.0056	Operating Transfers Art in Public Places	N	0	0	312000	-312000	0
0002	Energy Projects	REVENUES		029	Environmental Coordination Ser	1300	Energy Management	0000	Revenue			5541	Methane Recovery Reimb	N	0	0	0	0	-100000
